attomid,address_line1,avm_value,assdttlvalue,mktttlvalue,lat,lon
306043125,126 CROFT VALLEY LN,267600,43580,0,40.865035,-76.839739
306043122,87 CROFT VALLEY LN,0,54110,0,40.865084,-76.840361
306043124,156 CROFT VALLEY LN,0,59760,0,40.865095,-76.839347
306042993,3567 PARK RD,204000,31570,0,40.865269,-76.844459
306042984,1456 W 11TH AVE,182000,27050,0,40.865285,-76.842392
306039753,840 LITTLE MEXICO RD,0,37450,0,40.865365,-76.935317
306039837,131 BEN-WALT LN,236000,35090,0,40.865481,-76.921658
306042983,1522 W 11TH AVE,189000,28340,0,40.865526,-76.843026
306039673,34 DAUBY LN,0,32930,0,40.865709,-76.911116
306039834,4 BEN-WALT LN,303400,46510,0,40.865980,-76.923143
306043043,3290 PARK RD,206000,31090,0,40.865999,-76.843814
306043073,3308 PARK RD,211000,31600,0,40.866154,-76.843732
306043057,3283 PARK RD,165000,22540,0,40.866293,-76.843284
306043052,113 WOLF DR,175000,24550,0,40.866327,-76.842270
306043046,39 WOLF DR,305600,52300,0,40.866383,-76.843088
306043048,39 WOLF DR,0,1600,0,40.866383,-76.843088
306043134,3231 PARK RD,171000,23600,0,40.866579,-76.843138
306043139,45 HERITAGE LN,199900,28110,28110,40.866584,-76.843823
306042977,3192 PARK RD,0,37160,0,40.866652,-76.843487
306039607,168 DAUBY LN,0,22270,0,40.866713,-76.911519
306042979,3103 PARK RD,0,53920,0,40.866790,-76.843032
306043058,3103 PARK RD,0,1100,0,40.866790,-76.843032
306043142,105 HERITAGE LN,0,3060,0,40.866844,-76.844344
306043143,105 HERITAGE LN,285300,46240,0,40.866844,-76.844344
306043141,113 HERITAGE LN,280000,43520,0,40.866877,-76.844411
306042976,119 HERITAGE LN,280900,43090,0,40.866902,-76.844464
306039718,328 BEN-WALT LN,0,15590,0,40.867064,-76.918609
306039717,502 BEN-WALT LN,0,28460,0,40.867193,-76.915862
306043051,1218 SUNBURY RD,188000,31700,0,40.867276,-76.827670
306039816,440 BEN-WALT LN,151000,21820,0,40.867405,-76.916623
306039817,420 BEN-WALT LN,163000,11680,0,40.867640,-76.917001
306043055,1232 SUNBURY RD,154000,23700,0,40.867859,-76.827984
306043024,2941 PARK RD,145800,16320,0,40.868407,-76.842413
306039721,1639 SCRUBBY HILL RD,0,2930,0,40.868473,-76.925294
306039757,1661 SCRUBBY HILL RD,0,1360,0,40.868610,-76.924968
306039764,1620 SCRUBBY HILL RD,0,1920,0,40.868647,-76.925622
306039758,1673 SCRUBBY HILL RD,198000,14190,0,40.868684,-76.924789
306039760,1640 SCRUBBY HILL RD,0,5270,0,40.868768,-76.925334
306043036,57 BLUE BIRD HL,158000,23300,0,40.868820,-76.827961
306043021,1312 SUNBURY RD,148000,21970,0,40.869012,-76.829077
306043022,138 BLUE BIRD HL,0,42930,0,40.869067,-76.826885
306043037,113 BLUE BIRD HL,0,11640,0,40.869159,-76.827339
306039813,1734 SCRUBBY HILL RD,0,19860,0,40.869370,-76.924049
306043019,149 BLUE BIRD HL,174000,27540,0,40.869371,-76.826936
306043049,202 BLUE BIRD HL,0,47380,0,40.869438,-76.826182
306043035,1378 SUNBURY RD,0,8200,0,40.869524,-76.829842
306043170,4821 N SUSQUEHANNA TRL,149000,23670,0,40.869532,-76.816250
306043012,1425 SUNBURY RD,209000,36330,0,40.869655,-76.830577
306043018,1398 SUNBURY RD,130000,17550,0,40.869681,-76.830072
306039719,990 SCRUBBY HILL RD,0,28020,0,40.869755,-76.914117
306043196,4837 N SUSQUEHANNA TRL,152000,25880,0,40.869943,-76.816480
306043190,488 TOWER RD,126000,22130,0,40.869989,-76.814313
306043017,1442 SUNBURY RD,181000,31360,0,40.870022,-76.830589
306039720,1435 SCRUBBY HILL RD,0,1650,0,40.870032,-76.921777
306039782,1426 SCRUBBY HILL RD,0,10790,0,40.870185,-76.914081
306039755,1091 SCRUBBY HILL RD,0,9090,0,40.870217,-76.918872
306039761,1091 SCRUBBY HILL RD,0,670,0,40.870217,-76.918872
306043188,481 TOWER RD,0,22250,0,40.870227,-76.814490
306039805,1463 SCRUBBY HILL RD,0,1600,0,40.870250,-76.922229
306039759,1107 SCRUBBY HILL RD,126000,6310,0,40.870257,-76.918554
306039801,1529 SCRUBBY HILL RD,0,16530,0,40.870266,-76.920962
306039804,1529 SCRUBBY HILL RD,0,470,0,40.870266,-76.920962
306039768,1592 SCRUBBY HILL RD,0,3790,3790,40.870295,-76.923370
306043013,1511 SUNBURY RD,192000,33970,0,40.870299,-76.831597
306043053,1480 SUNBURY RD,131000,12480,0,40.870311,-76.831046
306039787,1398 SCRUBBY HILL RD,0,870,0,40.870433,-76.913951
306039808,1398 SCRUBBY HILL RD,0,6640,0,40.870433,-76.913951
306039722,1550 SCRUBBY HILL RD,0,4840,0,40.870458,-76.923081
306043016,1504 SUNBURY RD,180000,31010,0,40.870488,-76.831335
306039756,1566 SCRUBBY HILL RD,0,7010,0,40.870494,-76.922847
306039725,1450 SCRUBBY HILL RD,158000,3120,0,40.870507,-76.922716
306039724,1490 SCRUBBY HILL RD,0,4220,0,40.870559,-76.921743
306039723,1512 SCRUBBY HILL RD,0,6560,0,40.870617,-76.921194
306043050,1563 SUNBURY RD,187000,31620,0,40.870677,-76.832217
306043015,1530 SUNBURY RD,151000,23020,23020,40.870680,-76.831648
306039772,1186 SCRUBBY HILL RD,0,770,0,40.870804,-76.917232
306043156,391 TOWER RD,146000,26560,26560,40.870811,-76.812831
306039774,1198 SCRUBBY HILL RD,0,2210,0,40.870843,-76.917009
306039775,1198 SCRUBBY HILL RD,0,6610,0,40.870843,-76.917009
306039771,1238 SCRUBBY HILL RD,0,1860,0,40.870898,-76.916227
306039786,1372 SCRUBBY HILL RD,148000,19460,0,40.870911,-76.913595
306039802,1372 SCRUBBY HILL RD,0,690,690,40.870911,-76.913595
306039773,1254 SCRUBBY HILL RD,0,7140,0,40.870916,-76.915922
