Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0510182760188045 -0.0572556416339312 -0.04489164090579
mu xi 0.0531926709277344 0.0467964393416866 0.0595272788850147
mu dd -0.00220052989430353 -0.0084474636094321 0.00397388201393761
mu dr -0.00202463487993149 -0.00828193160430435 0.00408792612193002
mu life -0.00152306407339151 -0.00770941123157841 0.00465043444559503
sigma xi 0.0686011027213467 0.0616550304080621 0.0755431402361327
sigma dd 0.00259880262928387 -0.00382554030054561 0.00903317233055574
sigma dr -0.0015273049133562 -0.00776343169650306 0.00461894037502748
sigma life 0.00673657733109552 0.000193144783028253 0.0133003727612435
xi dd 0.0128069598723391 0.00620664621642303 0.0192852833865279
xi dr 0.000484238909056165 -0.00583142283286791 0.0067028307597368
xi life 0.025079500207326 0.0181736068699796 0.0319022515579659
dd dr -0.00197534409985182 -0.0082168788154739 0.00418431610018482
dd life 0.000775330174334968 -0.00563475119127107 0.00708078245119553
dr life -0.000114495283497565 -0.00640114630170843 0.00607918920249388
