Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.073761903438528 -0.0800289327253058 -0.06739306295172
mu xi 0.059223754134105 0.0530287820860032 0.0657093231556636
mu dd 0.00520558877894528 -0.00105623488731224 0.0115662913797714
mu dr 0.00288618237234188 -0.00326903417876296 0.00919343203493402
mu life 0.00980043015736554 0.00348762778998948 0.0162869093420707
sigma xi 0.0453737278385111 0.0388910232717419 0.0520835764715287
sigma dd 0.00981275821519301 0.00346436352294253 0.0162998049866332
sigma dr 0.00337568532556452 -0.00280035433633139 0.00975210894840053
sigma life 0.0165536938024617 0.0100830605469454 0.0232123005731751
xi dd -0.00196922064268001 -0.00829888085461819 0.00463959570425377
xi dr 0.0020527630564635 -0.00409796379446986 0.00835375657875485
xi life -0.011410312615273 -0.0179214702998402 -0.00491818736280463
dd dr 0.00316063914302432 -0.00305338274490506 0.00953257266687921
dd life 0.0141266845599746 0.00754611332127659 0.0206847851296771
dr life 0.0087340622655282 0.00256544151741696 0.0150633725930063
