Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0510182760188049 -0.0573728532306234 -0.0446873819335438
mu xi 0.0531926709277432 0.0468674310174163 0.0594877582698095
mu dd -0.0022005298943026 -0.00841799226728188 0.00404695074299077
mu dr -0.00202463487993199 -0.00821538066312375 0.00422800587962536
mu life -0.0015230640734034 -0.00776103918967882 0.00474528940720599
sigma xi 0.0686011027213513 0.0615960012185781 0.07557367541207
sigma dd 0.00259880262927768 -0.00395487199632065 0.00911610030710999
sigma dr -0.00152730491335347 -0.00771732800339383 0.00473416649240115
sigma life 0.00673657733108383 0.000187070663263216 0.0132660268763099
xi dd 0.0128069598723765 0.00621519450862054 0.0192884533788324
xi dr 0.00048423890906436 -0.00585144689860574 0.00683368725641953
xi life 0.0250795002073734 0.0182336949977262 0.0318498768928155
dd dr -0.00197534409985162 -0.00817650749556414 0.00429859415451483
dd life 0.000775330174330027 -0.00560375980209508 0.00711782976520227
dr life -0.000114495283508459 -0.00644650545876714 0.0061680656858292
