Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0510182760188045 -0.0573165668825073 -0.0446223383386226
mu xi 0.0531926709277344 0.0468537383211921 0.05958182780755
mu dd -0.00220052989430353 -0.00844992899568411 0.00415671561305142
mu dr -0.00202463487993149 -0.00820617829261812 0.0042989315644167
mu life -0.00152306407339151 -0.00771022158506422 0.00484961241180739
sigma xi 0.0686011027213467 0.0615583803399066 0.0756175149612939
sigma dd 0.00259880262928387 -0.00375636600275909 0.00910250854732483
sigma dr -0.0015273049133562 -0.0077506251726917 0.00482438981032033
sigma life 0.00673657733109552 0.000222307455094991 0.0133997786022782
xi dd 0.0128069598723391 0.00629282403846262 0.0195682679887009
xi dr 0.000484238909056165 -0.00573952855109169 0.00689153799495517
xi life 0.025079500207326 0.0182350507153116 0.0319662565319842
dd dr -0.00197534409985182 -0.00817713883138871 0.00432306754535323
dd life 0.000775330174334968 -0.00557188604514866 0.00731945712058418
dr life -0.000114495283497565 -0.00629381302487599 0.00620062182793827
