Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.073761903438528 -0.0800097669560925 -0.0672163668270682
mu xi 0.059223754134105 0.0528841109554137 0.0657512452145922
mu dd 0.00520558877894528 -0.001099250757 0.0115288800558031
mu dr 0.00288618237234188 -0.00327610417787528 0.00910811185794703
mu life 0.00980043015736554 0.00338094198535967 0.0163139847025542
sigma xi 0.0453737278385111 0.0388830083310164 0.0520095126288743
sigma dd 0.00981275821519301 0.0034398070439745 0.0162632154303703
sigma dr 0.00337568532556452 -0.00285852075254117 0.00968983570778824
sigma life 0.0165536938024617 0.0100309312103545 0.0232202942848824
xi dd -0.00196922064268001 -0.00836401239532138 0.0045940343248222
xi dr 0.0020527630564635 -0.00417468059289134 0.00847243143849902
xi life -0.011410312615273 -0.0178416449928595 -0.0049145339521809
dd dr 0.00316063914302432 -0.00302970040522564 0.00943946736594696
dd life 0.0141266845599746 0.00761139433044578 0.0208159719451048
dr life 0.0087340622655282 0.00245458101671232 0.0151099249672983
