Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0510182760188049 -0.0573497696207865 -0.0447405629447915
mu xi 0.0531926709277432 0.04680481708871 0.0595480940868572
mu dd -0.0022005298943026 -0.00844633085073629 0.00400932540737731
mu dr -0.00202463487993199 -0.008226446879799 0.0041585192254228
mu life -0.0015230640734034 -0.00777855657216016 0.00467682282722406
sigma xi 0.0686011027213513 0.0614042654370951 0.0755505127780504
sigma dd 0.00259880262927768 -0.00385991550684691 0.00902755268834002
sigma dr -0.00152730491335347 -0.00774937834697209 0.0047288383980364
sigma life 0.00673657733108383 0.000165357471382412 0.0132177269917006
xi dd 0.0128069598723765 0.00628291569581381 0.0196190622490226
xi dr 0.00048423890906436 -0.00583797556173936 0.00680632133316072
xi life 0.0250795002073734 0.0182353088198029 0.0318729339847881
dd dr -0.00197534409985162 -0.0082672486391261 0.00425328204271739
dd life 0.000775330174330027 -0.00559605396550449 0.0071609569702306
dr life -0.000114495283508459 -0.00636859840988883 0.00613131317891295
