Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0588666024792795 -0.065110768839837 -0.0523864596228143
mu xi 0.047875690451299 0.0416846981941401 0.0543978748844706
mu dd 0.00174360291171785 -0.00444918975986369 0.00820980221491491
mu dr -0.0009309967222269 -0.00699362884874631 0.00548225592002892
mu life 0.00435022999922374 -0.00177917192671457 0.0108384365581112
sigma xi 0.0596548471432718 0.0532367909079175 0.0663928598152208
sigma dd 0.0020889194003908 -0.00429537897203851 0.00867519184491045
sigma dr -0.000393238060164815 -0.00647692383627367 0.00599596586333979
sigma life 0.00457502739964027 -0.00180967141874701 0.0112035220725233
xi dd -0.010304396564686 -0.0166890711937281 -0.00368470742884031
xi dr -0.00242588684889321 -0.00860260337450619 0.00408073204146006
xi life -0.0164151078141996 -0.022882930281848 -0.00993814844643081
dd dr 0.000253937928705837 -0.00577946589192797 0.00664870365731369
dd life 0.00940609946725873 0.00294617696678141 0.0161493046695302
dr life 0.00575837444925187 -0.000388595675429444 0.0122847020142966
