Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0588666024792746 -0.0653059040027139 -0.0527246856830957
mu xi 0.047875690451266 0.0415217547897897 0.0540744224586126
mu dd 0.00174360291169967 -0.00466498252118624 0.00791513134711523
mu dr -0.00093099672224644 -0.00724283678634632 0.00511095298107792
mu life 0.00435022999921142 -0.00202932330350197 0.0104922297217756
sigma xi 0.0596548471432221 0.0531437242410862 0.0659601586844524
sigma dd 0.00208891940037112 -0.00454135648798437 0.0084182795623894
sigma dr -0.000393238060182148 -0.00670289908865931 0.00563991093262448
sigma life 0.00457502739973259 -0.00193704305056208 0.0109071195895975
xi dd -0.0103043965646914 -0.0167305497573451 -0.00397642008528568
xi dr -0.00242588684891081 -0.00873793021328375 0.00367003982682952
xi life -0.0164151078142487 -0.0230262275018613 -0.0101121110023273
dd dr 0.000253937928740101 -0.00610841977371032 0.00635259288428282
dd life 0.0094060994673022 0.0027339802238634 0.0157630137783026
dr life 0.00575837444925326 -0.000566765435042459 0.0119191449859212
