Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0588666024792795 -0.0654160471593596 -0.0526235896211107
mu xi 0.047875690451299 0.0414170915809693 0.05414592212729
mu dd 0.00174360291171785 -0.00476597973608402 0.00799479206431693
mu dr -0.0009309967222269 -0.0073382955866145 0.00518065767500309
mu life 0.00435022999922374 -0.00220036436164097 0.0106372960245331
sigma xi 0.0596548471432718 0.0530604753311187 0.0660892909273407
sigma dd 0.0020889194003908 -0.00447938919866376 0.0084463288148795
sigma dr -0.000393238060164815 -0.00681703443719298 0.0057310907739891
sigma life 0.00457502739964027 -0.00220038846109657 0.0110812054876688
xi dd -0.010304396564686 -0.0169769496248201 -0.0040394517299778
xi dr -0.00242588684889321 -0.00883990892564433 0.00377429913238092
xi life -0.0164151078141996 -0.0230271861827813 -0.0098979746861504
dd dr 0.000253937928705837 -0.00615136353292958 0.00645943207191296
dd life 0.00940609946725873 0.0026459277149757 0.016014062183413
dr life 0.00575837444925187 -0.000704890888477677 0.0119873756244319
