Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0373419250735662 -0.043530954745587 -0.0309922109976998
mu xi 0.0470125135646801 0.0407597513594874 0.0533645354578113
mu dd -0.000642290029811893 -0.00678474738657465 0.00557716012901599
mu dr -0.000700294092725684 -0.00684820244151319 0.00554396084441858
mu life -0.00073128155598598 -0.00685875109473443 0.00556577759636756
sigma xi 0.0955764201845265 0.0887494023745243 0.102435833002421
sigma dd 0.00209825856275182 -0.00416690669754417 0.00847090485461721
sigma dr -0.000223194865683913 -0.00639028215393248 0.00603196271457422
sigma life 0.00406326711348928 -0.00231952853527528 0.0107273166237012
xi dd 0.0093738436272167 0.00278006912593849 0.0160538914757213
xi dr 0.000437110502523329 -0.00571019025236989 0.0067836865794666
xi life 0.0244788218738315 0.0177568865764807 0.0311332274196624
dd dr -2.53428641403333e-06 -0.0061404124946327 0.00620854091645215
dd life 0.00265759282485817 -0.00363679343745075 0.0090985747622962
dr life 0.001771507199367 -0.00441234248617449 0.00800215488668556
