Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0588666024792746 -0.0650825112764515 -0.0525297286954298
mu xi 0.047875690451266 0.0415714532093886 0.0543163988130724
mu dd 0.00174360291169967 -0.00455552938755325 0.00813001933246042
mu dr -0.00093099672224644 -0.0070528185585129 0.00537101875817585
mu life 0.00435022999921142 -0.00185827960968595 0.0108213017215375
sigma xi 0.0596548471432221 0.0531306351020688 0.0662791621750321
sigma dd 0.00208891940037112 -0.00429263433611857 0.00868192289857351
sigma dr -0.000393238060182148 -0.00658895384262028 0.00598937591271603
sigma life 0.00457502739973259 -0.00186307525177526 0.0112164863793253
xi dd -0.0103043965646914 -0.0166779919865808 -0.00375017059029156
xi dr -0.00242588684891081 -0.00854241856097013 0.00387493454127572
xi life -0.0164151078142487 -0.0229021502696789 -0.00980231369236594
dd dr 0.000253937928740101 -0.00599640347512275 0.00657807190631589
dd life 0.0094060994673022 0.00297522116376055 0.0160683528226624
dr life 0.00575837444925326 -0.000464336459655292 0.0121341338037092
