Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0373419250735614 -0.0436622161642078 -0.0311280802288859
mu xi 0.0470125135646462 0.0407013083103564 0.0532589447004385
mu dd -0.000642290029816694 -0.00688468755374269 0.00551177071133255
mu dr -0.000700294092727007 -0.00696126048026443 0.00548724895396341
mu life -0.000731281555989755 -0.00699652674341724 0.00548546173169767
sigma xi 0.0955764201845012 0.0886140691517674 0.102268071548491
sigma dd 0.0020982585627492 -0.00428739375685312 0.00841992959107682
sigma dr -0.0002231948656807 -0.00652125620809369 0.00592705886710801
sigma life 0.00406326711348851 -0.00247511006602712 0.0104762938150103
xi dd 0.00937384362718088 0.00275497426727405 0.0159549998507787
xi dr 0.000437110502535341 -0.0058251648186677 0.00663018009717976
xi life 0.0244788218737864 0.0176618925552863 0.0313476542482969
dd dr -2.53428641719053e-06 -0.00622441992332252 0.00613788606894607
dd life 0.00265759282485956 -0.0037630018975279 0.00889937864135207
dr life 0.00177150719936051 -0.00454840880817705 0.00799957077099428
