Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0373419250735614 -0.0436901135732667 -0.0310773921783566
mu xi 0.0470125135646462 0.0407572143351277 0.0533242669293873
mu dd -0.000642290029816694 -0.00686404973968598 0.00557460801643559
mu dr -0.000700294092727007 -0.00687932737126006 0.00547055662640063
mu life -0.000731281555989755 -0.00690878652114858 0.00545471291267351
sigma xi 0.0955764201845012 0.0887925749052379 0.102328067126672
sigma dd 0.0020982585627492 -0.00429130249938294 0.00848847230497394
sigma dr -0.0002231948656807 -0.0064852844186645 0.0059498760192474
sigma life 0.00406326711348851 -0.0025822308658704 0.0106068283853851
xi dd 0.00937384362718088 0.00264309784032182 0.0159616758080103
xi dr 0.000437110502535341 -0.00574541154464206 0.00668905890483141
xi life 0.0244788218737864 0.0177202389099247 0.0312229569598306
dd dr -2.53428641719053e-06 -0.00620479697306459 0.00618828823639577
dd life 0.00265759282485956 -0.00374995388552687 0.0090119822979137
dr life 0.00177150719936051 -0.00446068272301965 0.00799943467714121
